directory,filename,format,size (MB)
F:\Backup\Datasets\Downloads\VG100\VG_100K,2343103.jpg,.jpg,0.1635570526123047
F:\Backup\Datasets\Downloads\VG100\VG_100K,107995.jpg,.jpg,0.2350320816040039
F:\Backup\Datasets\Downloads\VG100\VG_100K,2327660.jpg,.jpg,0.12970352172851562
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2412106.jpg,.jpg,0.12670612335205078
F:\Backup\Datasets\Downloads\VG100\VG_100K,2370536.jpg,.jpg,0.12903499603271484
F:\Identificação Vacas\Cow Database\imagens\56,411.jpeg,.jpeg,0.47879600524902344
F:\Identificação Vacas\Cow Database\imagens\77,1940.jpeg,.jpeg,0.45819759368896484
F:\Backup\Datasets\Downloads\VG100\VG_100K,2361891.jpg,.jpg,0.1810445785522461
F:\Identificação Vacas\Cow Database\imagens\77,2993.jpeg,.jpeg,0.4554300308227539
F:\Backup\Datasets\Downloads\VG100\VG_100K,2350442.jpg,.jpg,0.19576072692871094
F:\Identificação Vacas\Cow Database\imagens\36,257.jpeg,.jpeg,0.46824073791503906
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2403853.jpg,.jpg,0.19706249237060547
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2382026.jpg,.jpg,0.17973709106445312
F:\Identificação Vacas\Cow Database\imagens\10,1028.jpeg,.jpeg,0.5117311477661133
F:\Backup\Datasets\Downloads\VG100\VG_100K,2325861.jpg,.jpg,0.1157388687133789
F:\Backup\Datasets\Downloads\VG100\VG_100K,2339912.jpg,.jpg,0.16290283203125
F:\Backup\Datasets\Downloads\VG100\VG_100K,2327951.jpg,.jpg,0.21466636657714844
F:\Backup\Datasets\Downloads\VG100\VG_100K,2358848.jpg,.jpg,0.14403247833251953
F:\Identificação Vacas\Cow Database\imagens\42,300.jpeg,.jpeg,0.4867115020751953
F:\Backup\Datasets\Downloads\VG100\VG_100K,2362765.jpg,.jpg,0.13179492950439453
F:\Backup\Datasets\Downloads\VG100\VG_100K,2369797.jpg,.jpg,0.16026782989501953
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2391674.jpg,.jpg,0.1503734588623047
F:\Identificação Vacas\Cow Database\imagens\10,917.jpeg,.jpeg,0.4671592712402344
F:\Identificação Vacas\Cow Database\imagens\77,1884.jpeg,.jpeg,0.44969844818115234
F:\Backup\Datasets\Cow Calf Pictures _ Download Free Images on\vacas\Vaca,photo-1528227506778-0de3b2b6a8c1.jpg,.jpg,9.104280471801758
F:\Identificação Vacas\Cow Database\imagens\52,135.jpeg,.jpeg,0.39551734924316406
F:\Iniciação Científica\Artigo - Class-Based Adaptive Training for Facial Expression Recognition using an AttentionConvolution Network\checkpoints\08-03-2022\vggnet_5-11,epoch_350.pt,.pt,114.07613849639893
F:\Backup\Musicas\Selecionadas,Nick Cave & The Bad Seeds - Higgs Boson Blues.mp3,.mp3,13.573445320129395
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2388333.jpg,.jpg,0.15038394927978516
F:\Identificação Vacas\Cow Database\imagens\52,384.jpeg,.jpeg,0.4336872100830078
F:\Identificação Vacas\Cow Database\imagens\52,329.jpeg,.jpeg,0.3629302978515625
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2394517.jpg,.jpg,0.10426521301269531
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2388564.jpg,.jpg,0.13451385498046875
F:\Backup\Datasets\Downloads\VG100\VG_100K,2352660.jpg,.jpg,0.13303279876708984
F:\Backup\Datasets\Downloads\VG100\VG_100K,2332711.jpg,.jpg,0.15563201904296875
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2381101.jpg,.jpg,0.10082340240478516
F:\Backup\Datasets\Downloads\VG100\VG_100K,2337830.jpg,.jpg,0.19881534576416016
F:\Identificação Vacas\Cow Database\imagens\51,2582.jpeg,.jpeg,0.49948883056640625
F:\Identificação Vacas\Cow Database\imagens\53,1601.jpeg,.jpeg,0.48761940002441406
F:\Backup\Datasets\Downloads\VG100\VG_100K,1592476.jpg,.jpg,0.664423942565918
F:\Backup\Datasets\Downloads\VG100\VG_100K,1591831.jpg,.jpg,0.23902034759521484
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2392862.jpg,.jpg,0.12712669372558594
F:\Backup\Datasets\Downloads\VG100\VG_100K,2365286.jpg,.jpg,0.1280670166015625
F:\Backup\Datasets\Downloads\VG100\VG_100K,2373718.jpg,.jpg,0.1335592269897461
F:\Backup\Datasets\Downloads\VG100\VG_100K,2352143.jpg,.jpg,0.12574005126953125
F:\Backup\Datasets\Downloads\VG100\VG_100K,2315782.jpg,.jpg,0.19750595092773438
F:\Backup\Datasets\Downloads\VG100\VG_100K,2341304.jpg,.jpg,0.14960384368896484
F:\Identificação Vacas\Cow Database\imagens\51,1938.jpeg,.jpeg,0.48012828826904297
F:\Backup\Datasets\Downloads\VG100\VG_100K,2335570.jpg,.jpg,0.10741424560546875
F:\Identificação Vacas\Cow Database\imagens\47,670.jpeg,.jpeg,0.4216747283935547
F:\Backup\Datasets\Downloads\VG100\VG_100K,2348795.jpg,.jpg,0.16870689392089844
F:\Backup\Datasets\Downloads\VG100\VG_100K,2352803.jpg,.jpg,0.15911006927490234
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2408262.jpg,.jpg,0.1076955795288086
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2380388.jpg,.jpg,0.12597084045410156
F:\Iniciação Científica\Detecções de objetos\TM - Libras\Dataset\Tamanho original\Hospitalar\doente,doente - 16 - m.jpg,.jpg,0.20739459991455078
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,4484.jpg,.jpg,0.11334228515625
F:\Backup\Datasets\Downloads\VG100\VG_100K,2357717.jpg,.jpg,0.15128707885742188
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2385277.jpg,.jpg,0.14263916015625
